joint_RFCoxa_yaw,joint_RFCoxa,joint_RFCoxa_roll,joint_RFFemur,joint_RFFemur_roll,joint_RFTibia,joint_RFTarsus1,joint_LFCoxa_yaw,joint_LFCoxa,joint_LFCoxa_roll,joint_LFFemur,joint_LFFemur_roll,joint_LFTibia,joint_LFTarsus1,joint_RMCoxa_yaw,joint_RMCoxa,joint_RMCoxa_roll,joint_RMFemur,joint_RMFemur_roll,joint_RMTibia,joint_RMTarsus1,joint_LMCoxa_yaw,joint_LMCoxa,joint_LMCoxa_roll,joint_LMFemur,joint_LMFemur_roll,joint_LMTibia,joint_LMTarsus1,joint_RHCoxa_yaw,joint_RHCoxa,joint_RHCoxa_roll,joint_RHFemur,joint_RHFemur_roll,joint_RHTibia,joint_RHTarsus1,joint_LHCoxa_yaw,joint_LHCoxa,joint_LHCoxa_roll,joint_LHFemur,joint_LHFemur_roll,joint_LHTibia,joint_LHTarsus1
-0.033543,0.393851,-0.928579,-2.134204,-0.637519,1.619674,-0.624380,0.033543,0.393851,0.928579,-2.134204,0.637519,1.619674,-0.624380,-0.654309,-0.175269,-1.761073,-1.705924,0.109333,2.103153,-0.623708,0.654309,-0.175269,1.761073,-1.705924,-0.109333,2.103153,-0.623708,-0.447988,0.625230,-2.414635,-1.643722,0.250787,2.007633,-0.188404,0.447988,0.625230,2.414635,-1.643722,-0.250787,2.007633,-0.188404
-0.055195,0.431584,-0.972877,-2.157418,-0.680644,1.640223,-0.584512,0.055195,0.431584,0.972877,-2.157418,0.680644,1.640223,-0.584512,-0.668108,-0.151698,-1.781838,-1.698857,0.148223,2.110837,-0.624314,0.668108,-0.151698,1.781838,-1.698857,-0.148223,2.110837,-0.624314,-0.473718,0.680699,-2.401935,-1.578359,0.232258,1.995328,-0.198849,0.473718,0.680699,2.401935,-1.578359,-0.232258,1.995328,-0.198849
-0.075160,0.469280,-1.004619,-2.171210,-0.723067,1.653919,-0.562056,0.075160,0.469280,1.004619,-2.171210,0.723067,1.653919,-0.562056,-0.703217,-0.111962,-1.800047,-1.669719,0.174159,2.121743,-0.622275,0.703217,-0.111962,1.800047,-1.669719,-0.174159,2.121743,-0.622275,-0.482191,0.720883,-2.405383,-1.531330,0.217351,1.979296,-0.207069,0.482191,0.720883,2.405383,-1.531330,-0.217351,1.979296,-0.207069
-0.083708,0.501933,-1.026231,-2.182013,-0.756873,1.663785,-0.553265,0.083708,0.501933,1.026231,-2.182013,0.756873,1.663785,-0.553265,-0.756116,-0.063687,-1.808473,-1.630520,0.187753,2.138422,-0.604948,0.756116,-0.063687,1.808473,-1.630520,-0.187753,2.138422,-0.604948,-0.474408,0.743890,-2.425959,-1.498743,0.209602,1.953431,-0.214553,0.474408,0.743890,2.425959,-1.498743,-0.209602,1.953431,-0.214553
-0.076317,0.527121,-1.043165,-2.194243,-0.778320,1.671337,-0.552354,0.076317,0.527121,1.043165,-2.194243,0.778320,1.671337,-0.552354,-0.811970,-0.023016,-1.807140,-1.598434,0.198725,2.159588,-0.575111,0.811970,-0.023016,1.807140,-1.598434,-0.198725,2.159588,-0.575111,-0.458434,0.752294,-2.455582,-1.474891,0.210198,1.914879,-0.220693,0.458434,0.752294,2.455582,-1.474891,-0.210198,1.914879,-0.220693
-0.057137,0.544746,-1.059242,-2.208080,-0.788457,1.678827,-0.553556,0.057137,0.544746,1.059242,-2.208080,0.788457,1.678827,-0.553556,-0.847722,-0.003407,-1.801600,-1.591641,0.215296,2.181882,-0.547853,0.847722,-0.003407,1.801600,-1.591641,-0.215296,2.181882,-0.547853,-0.444718,0.750766,-2.482816,-1.455516,0.219134,1.864505,-0.223275,0.444718,0.750766,2.482816,-1.455516,-0.219134,1.864505,-0.223275
-0.037302,0.556322,-1.074505,-2.221209,-0.791877,1.690373,-0.552120,0.037302,0.556322,1.074505,-2.221209,0.791877,1.690373,-0.552120,-0.848189,-0.003938,-1.796321,-1.616107,0.235423,2.201917,-0.537651,0.848189,-0.003938,1.796321,-1.616107,-0.235423,2.201917,-0.537651,-0.439467,0.744324,-2.500954,-1.438608,0.235728,1.806086,-0.220096,0.439467,0.744324,2.500954,-1.438608,-0.235728,1.806086,-0.220096
-0.029261,0.563383,-1.085514,-2.232160,-0.793670,1.712778,-0.544704,0.029261,0.563383,1.085514,-2.232160,0.793670,1.712778,-0.544704,-0.821560,-0.010584,-1.792531,-1.654606,0.251576,2.216527,-0.549177,0.821560,-0.010584,1.792531,-1.654606,-0.251576,2.216527,-0.549177,-0.440673,0.737352,-2.512045,-1.423164,0.257678,1.743842,-0.211201,0.440673,0.737352,2.512045,-1.423164,-0.257678,1.743842,-0.211201
-0.039722,0.566846,-1.089001,-2.241942,-0.798072,1.752484,-0.530507,0.039722,0.566846,1.089001,-2.241942,0.798072,1.752484,-0.530507,-0.796000,-0.005062,-1.791335,-1.673218,0.259611,2.223024,-0.577934,0.796000,-0.005062,1.791335,-1.673218,-0.259611,2.223024,-0.577934,-0.439913,0.732995,-2.523898,-1.408277,0.280315,1.679923,-0.198840,0.439913,0.732995,2.523898,-1.408277,-0.280315,1.679923,-0.198840
-0.064030,0.566814,-1.084737,-2.252740,-0.805722,1.808906,-0.514117,0.064030,0.566814,1.084737,-2.252740,0.805722,1.808906,-0.514117,-0.799652,0.023705,-1.792142,-1.643196,0.262013,2.219343,-0.614790,0.799652,0.023705,1.792142,-1.643196,-0.262013,2.219343,-0.614790,-0.428715,0.732385,-2.542939,-1.394054,0.297859,1.614401,-0.183773,0.428715,0.732385,2.542939,-1.394054,-0.297859,1.614401,-0.183773
-0.087707,0.563157,-1.074931,-2.265183,-0.812742,1.873553,-0.506819,0.087707,0.563157,1.074931,-2.265183,0.812742,1.873553,-0.506819,-0.835172,0.066275,-1.789214,-1.567948,0.268084,2.204473,-0.651756,0.835172,0.066275,1.789214,-1.567948,-0.268084,2.204473,-0.651756,-0.405159,0.733997,-2.569121,-1.381950,0.306655,1.547160,-0.163257,0.405159,0.733997,2.569121,-1.381950,-0.306655,1.547160,-0.163257
-0.095047,0.557304,-1.063174,-2.275602,-0.814374,1.934487,-0.522533,0.095047,0.557304,1.063174,-2.275602,0.814374,1.934487,-0.522533,-0.881756,0.101985,-1.780363,-1.478708,0.286307,2.180101,-0.684058,0.881756,0.101985,1.780363,-1.478708,-0.286307,2.180101,-0.684058,-0.375101,0.733742,-2.596932,-1.374691,0.307608,1.480461,-0.134099,0.375101,0.733742,2.596932,-1.374691,-0.307608,1.480461,-0.134099
-0.078790,0.552772,-1.054251,-2.278866,-0.808230,1.981781,-0.566946,0.078790,0.552772,1.054251,-2.278866,0.808230,1.981781,-0.566946,-0.913946,0.116329,-1.772526,-1.412029,0.318316,2.152023,-0.706658,0.913946,0.116329,1.772526,-1.412029,-0.318316,2.152023,-0.706658,-0.346689,0.727238,-2.619885,-1.376425,0.303995,1.420996,-0.097025,0.346689,0.727238,2.619885,-1.376425,-0.303995,1.420996,-0.097025
-0.045214,0.554965,-1.053373,-2.274065,-0.799175,2.011430,-0.630791,0.045214,0.554965,1.053373,-2.274065,0.799175,2.011430,-0.630791,-0.919543,0.110087,-1.773629,-1.385489,0.359436,2.126082,-0.715894,0.919543,0.110087,1.773629,-1.385489,-0.359436,2.126082,-0.715894,-0.324218,0.712375,-2.634044,-1.390771,0.298331,1.377367,-0.057672,0.324218,0.712375,2.634044,-1.390771,-0.298331,1.377367,-0.057672
-0.011864,0.569351,-1.062308,-2.265694,-0.798931,2.025870,-0.692049,0.011864,0.569351,1.062308,-2.265694,0.798931,2.025870,-0.692049,-0.903136,0.096576,-1.783849,-1.393169,0.399853,2.104347,-0.710888,0.903136,0.096576,1.783849,-1.393169,-0.399853,2.104347,-0.710888,-0.307397,0.690565,-2.638819,-1.416700,0.292065,1.352839,-0.022753,0.307397,0.690565,2.638819,-1.416700,-0.292065,1.352839,-0.022753
0.002019,0.598312,-1.078489,-2.257542,-0.819156,2.032745,-0.730605,-0.002019,0.598312,1.078489,-2.257542,0.819156,2.032745,-0.730605,-0.876327,0.091464,-1.797824,-1.418763,0.427589,2.086124,-0.692742,0.876327,0.091464,1.797824,-1.418763,-0.427589,2.086124,-0.692742,-0.295802,0.666617,-2.634690,-1.446827,0.286740,1.342100,0.006264,0.295802,0.666617,2.634690,-1.446827,-0.286740,1.342100,0.006264
-0.014245,0.637482,-1.097872,-2.249906,-0.863082,2.043392,-0.738124,0.014245,0.637482,1.097872,-2.249906,0.863082,2.043392,-0.738124,-0.848463,0.104004,-1.811220,-1.447633,0.434942,2.069822,-0.664387,0.848463,0.104004,1.811220,-1.447633,-0.434942,2.069822,-0.664387,-0.291452,0.646127,-2.621944,-1.469963,0.285123,1.333225,0.034027,0.291452,0.646127,2.621944,-1.469963,-0.285123,1.333225,0.034027
-0.055435,0.676640,-1.118084,-2.243643,-0.921389,2.065373,-0.717268,0.055435,0.676640,1.118084,-2.243643,0.921389,2.065373,-0.717268,-0.824959,0.135464,-1.822623,-1.469157,0.421853,2.053558,-0.631715,0.824959,0.135464,1.822623,-1.469157,-0.421853,2.053558,-0.631715,-0.296371,0.631578,-2.602097,-1.477729,0.290138,1.314374,0.065587,0.296371,0.631578,2.602097,-1.477729,-0.290138,1.314374,0.065587
-0.101212,0.704343,-1.142484,-2.244618,-0.977543,2.097747,-0.674683,0.101212,0.704343,1.142484,-2.244618,0.977543,2.097747,-0.674683,-0.808570,0.183274,-1.832182,-1.475936,0.392352,2.035754,-0.602585,0.808570,0.183274,1.832182,-1.475936,-0.392352,2.035754,-0.602585,-0.310001,0.619461,-2.579011,-1.471351,0.303799,1.282376,0.100395,0.310001,0.619461,2.579011,-1.471351,-0.303799,1.282376,0.100395
-0.124922,0.713403,-1.178458,-2.264886,-1.015825,2.132945,-0.617272,0.124922,0.713403,1.178458,-2.264886,1.015825,2.132945,-0.617272,-0.800117,0.242822,-1.840099,-1.464763,0.351967,2.015611,-0.583591,0.800117,0.242822,1.840099,-1.464763,-0.351967,2.015611,-0.583591,-0.329255,0.602368,-2.557977,-1.461354,0.326367,1.245974,0.131335,0.329255,0.602368,2.557977,-1.461354,-0.326367,1.245974,0.131335
-0.107739,0.703791,-1.227517,-2.315598,-1.026835,2.159381,-0.553856,0.107739,0.703791,1.227517,-2.315598,1.026835,2.159381,-0.553856,-0.797621,0.305991,-1.846058,-1.441249,0.306579,1.994951,-0.576290,0.797621,0.305991,1.846058,-1.441249,-0.306579,1.994951,-0.576290,-0.350741,0.575555,-2.542843,-1.459661,0.354590,1.222049,0.147833,0.350741,0.575555,2.542843,-1.459661,-0.354590,1.222049,0.147833
-0.048657,0.679182,-1.279369,-2.399549,-1.007622,2.165669,-0.493262,0.048657,0.679182,1.279369,-2.399549,1.007622,2.165669,-0.493262,-0.797446,0.361304,-1.851199,-1.420297,0.261930,1.979414,-0.576348,0.797446,0.361304,1.851199,-1.420297,-0.261930,1.979414,-0.576348,-0.373684,0.541508,-2.532363,-1.472136,0.382215,1.229268,0.140739,0.373684,0.541508,2.532363,-1.472136,-0.382215,1.229268,0.140739
0.032977,0.645673,-1.315315,-2.504900,-0.965397,2.145599,-0.443548,-0.032977,0.645673,1.315315,-2.504900,0.965397,2.145599,-0.443548,-0.797284,0.397278,-1.858893,-1.418344,0.222983,1.976094,-0.576669,0.797284,0.397278,1.858893,-1.418344,-0.222983,1.976094,-0.576669,-0.399847,0.509841,-2.519357,-1.496668,0.403259,1.283008,0.106234,0.399847,0.509841,2.519357,-1.496668,-0.403259,1.283008,0.106234
0.110106,0.610197,-1.321094,-2.608808,-0.916730,2.100722,-0.414764,-0.110106,0.610197,1.321094,-2.608808,0.916730,2.100722,-0.414764,-0.800527,0.402186,-1.871687,-1.443255,0.198057,1.988900,-0.573037,0.800527,0.402186,1.871687,-1.443255,-0.198057,1.988900,-0.573037,-0.429627,0.492218,-2.494781,-1.527801,0.413170,1.390487,0.048730,0.429627,0.492218,2.494781,-1.527801,-0.413170,1.390487,0.048730
